"geno","plate_id","order","pop","long","lat","alt","DOYFS1.9","AvgeSen.9","BaseDiameter.9","DryMatter.9","LeafLength.7","LeafWidth.7","MaxCanopyHeight.9","Moisture.9","StatureCategory.7","StatureLeafAngle.7","StatureStemAngle.7","StemDiameter.9","TallestStem.9","TransectCount.9","Cellulose.8","Hemicellulose.8","Lignin.8"
"Pa-220","Plate1C04",28,"sin1_1",NA,NA,NA,-1.25,0.275,62.5,-228.0441429,5.125,-0.45,-6.25,-1.499644898,-1.45e-14,0.5,-0.25,-0.5,-2.5,0.5,-1.0575,-0.5925,-0.51
"Pa-193","Plate1C05",29,"sin1_1",NA,NA,NA,3.25,1.125,-37.5,45.55602653,11.875,-0.525,12.5,0.266456722,-0.875,0.125,-0.5,-0.7,-2.75,9,1.8675,-2.9825,1.1275
"Pa-223","Plate1C06",30,"sin1_2",127.483,35.4333,1172,30.75,-0.275,-50,-70.1774103,19.375,-0.375,-7.5,-0.797842185,0.25,0.25,1.52e-14,-0.075,-31,-1.5,-0.7225,-2.405,1.105
"Pa-27","Plate1C07",31,"sin1_1",137.725,36.141,1320,11.25,-1.225,-12.5,-93.12755415,4.125,-0.325,15,-3.762291495,0.25,0.25,1.52e-14,0.375,10.75,-1.75,2.0225,-2.785,-0.095
"Pa-66","Plate1C08",32,"sin1_2",NA,NA,NA,NA,-3.175,-100,278.88813,50.875,0.375,26.25,8.630364097,-2,-1.13e-14,-1,1.175,-59.75,-7.75,-4.81,-3.825,1.0725
"Pa-219","Plate1C09",33,"sin1_1",NA,NA,NA,-9.25,0.675,-2.68e-12,-517.484513,5.375,-0.2875,-3.75,-10.43277594,-1,0.5,-0.75,-0.375,-7.5,-3,-1.4625,1.02,-0.4725
"Pa-198","Plate1C10",34,"sin1_1",NA,NA,NA,-1.25,0.675,-25,-363.0079814,-7,-0.6875,-7.5,-11.32519138,-1.25,0.25,-0.75,-0.125,8.25,-0.25,1.6075,-0.7125,0.6775
"Pa-317","Plate1C11",35,NA,NA,NA,NA,NA,-1.866809798,-228.1115243,NA,10.2938205,-0.475738471,-53.95536504,NA,1.719198194,-0.248002145,0.98340993,0.433429312,-92.84923903,-17.34451827,-0.532477243,-0.074643786,0.323167409
"Pa-249","Plate1C12",36,NA,NA,NA,NA,105.25,-1.85,-262.5,-929.1081944,19.625,-0.175,-27.5,7.636113835,-1,-1.13e-14,-0.5,0.175,-91.5,-17,-4.4125,-2.365,-0.055
"Pa-49","Plate1D01",37,"sin1_2",127.317,37.85,250,67.99412159,0.55,-100,-498.3231649,26.875,-0.3,-15,11.55056935,-0.625,-0.125,-0.25,0.025,-95.75,1.25,-4.1,-2.075,-0.0975
